"","...1","Region","Date","NA.","Population","HPI","S_Unf","HR","CPI","GRP_pc","HR_pc","BP","PI_Roads_Materials","Price_m2_fm","Price_m2_sm","Materials_pi","N_of_Credits","Avg_IR","Avg_Sum_of_credit","Avg_Duration_of_Credit","Mortgage_Debt","Usage","Usage_ratio","S_unf_redone"
"5093","5093","Тюменская область",2002-01-01,"5093",3247666.43502083,121.380722489877,2603983.22079734,6008.06020207383,116.930360431561,271207.273477339,0.0018500775762177,14657.625026411,4.66142857142856,9143.2200000031,10363.0100000036,5.98275862068964,742,14.3166666666667,1127,17.9333333333333,17336,71.81,"High usage",1994.78864608292
"5094","5094","Тюменская область",2002-04-01,"5094",3249193.46101249,119.660433493926,2402304.73247841,6037.63612124427,116.538216258937,272973.364086402,0.00185825874668308,14683.3750158465,-1.94142857142856,10611.3500000032,10577.5400000037,5.04275862068964,632,14.12,2561.33333333333,18.3333333333333,42883.6666666667,69.04,"High usage",2036.78798764975
"5095","5095","Тюменская область",2002-07-01,"5095",3252247.51299581,116.219855502024,1998947.75584054,6096.78795958515,115.753927913687,276505.545304528,0.00187462108761225,14734.8749947175,13.5114285714286,10516.7000000033,11173.6200000038,9.64689655172413,734,14.5633333333333,780.333333333333,12.4666666666667,27862.6666666667,70.06,"High usage",2120.7866707834
"5096","5096","Тюменская область",2002-10-01,"5096",3256828.59097079,111.058988514171,1393912.29088373,6185.51571709646,114.577495395813,281803.817131716,0.00189916459900635,14812.124963024,-0.757142857142881,9388.66000000309,11192.7400000036,3.96344827586208,1238,14.6966666666667,1108.33333333333,15.6666666666667,17463,69.25,"High usage",2246.78469548389
"5097","5097","Тюменская область",2003-01-01,"5097",3262936.69493743,104.177832530367,587198.337607994,6303.81939377822,113.008918705313,288868.179567967,0.0019318892808652,14915.124920766,8.19000000000001,15186.7000000034,15364.5600000039,9.38333333333334,754,14.4066666666667,1739.33333333333,15.3,40120.3333333333,71,"High usage",2414.7820617512
"5098","5098","Тюменская область",2003-04-01,"5098",3268150.0585491,99.6022371246988,30564.381254503,6403.6131069396,111.677920546988,298806.140355729,0.00195941262539299,15114.2709355563,-4.85285714285713,15200.1500000035,15222.940000004,1.55380952380953,575,14.59,1127,15.4666666666667,18973.3333333333,68,"High usage",2447.02818355764
"5099","5099","Тюменская область",2003-07-01,"5099",3272468.68180582,97.3322022971652,-275989.578176739,6484.89685658064,110.584500920837,311617.699495001,0.00198173463259067,15409.5630073949,-4.23999999999998,15261.8800000035,15298.9400000041,-3.1242857142857,1000,14.4533333333333,1127,20.6666666666667,17406,55,"Low usage",2343.52306090321
"5100","5100","Тюменская область",2003-10-01,"5100",3275892.56470758,97.3677280477665,-332463.540685732,6547.6706427013,109.72865982686,327302.856985783,0.00199885530245689,15801.0011362818,4.27142857142857,15264.3400000036,15278.700000004,4.46619047619049,647,14.2666666666667,780.333333333333,20.6666666666667,7859,43.99,"Low usage",2104.26669378792
"5101","5101","Тюменская область",2004-01-01,"5101",3278421.70725437,99.7088143765029,-138857.506272476,6591.93446530161,109.110397265056,345861.612828075,0.00201077463499295,16288.5853222169,9.94374999999999,15971.8900000036,15294.570000004,0.960555555555544,650,14.1966666666667,1108.33333333333,20.6666666666667,6765,43.99,"Low usage",1729.25908221175
"5102","5102","Тюменская область",2004-04-01,"5102",3280726.68137134,103.269723157396,-5266.76999818044,6649.66620822106,108.902933334312,368954.863496927,0.00202691850172006,16774.5848677041,3.84625,16217.1600000037,15718.4900000042,2.70083333333332,517,14.5633333333333,2468.33333333333,18.8333333333333,45232,55,"Low usage",1492.87240469658
