brand,sales,price,boston,date,addv,bd1,bd2,bd3,bd4,bd5,bd6,bd7,bd8,bd9,bd10,bd11,bd12,bd13,bd14,bd15,bd16,bd17,bd18,bd19,bd20,bd21,bd22,bd23,bd24,bd25,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,dd11,dd12,dd13,dd14,dd15,dd16,dd17,dd18,dd19,dd20,y,qavgp,p_SF,p_BS,p_rSF,p_rNE,sfdum
1004,1399035,0.100468822,1,914,5.313444614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3.204927206,0.096849129,0.110883117,0.100468822,0.109549344,0.097754054,0
1004,1197367,0.107892267,0,913,5.9095788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-3.48720336,0.099284068,0.107892267,0.107350796,0.1067743,0.102081068,1
1004,1220503,0.106658548,0,921,7.260717392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3.499303579,0.095469214,0.106658548,0.090378717,0.107818916,0.090912066,1
1004,1482498,0.085329294,1,922,5.201128483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.906013966,0.084816277,0.104740605,0.085329294,0.104641609,0.084944531,0
1004,1118418,0.101078346,1,924,6.734400272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3.431890249,0.101256274,0.106673025,0.101078346,0.107885785,0.101211794,0
1004,1446067,0.086721219,1,923,6.938051224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.963838816,0.089143313,0.103228599,0.086721219,0.104395717,0.08853779,0
1004,1039217.438,0.117994316,0,904,5.46112442,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.707308292,0.105442554,0.117994316,0.103366636,0.11551474,0.10120815,1
1004,1064044,0.115004055,0,911,7.531999111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.680760145,0.103604943,0.115004055,0.109202214,0.11182645,0.105467051,1
1004,1205633,0.106715731,1,883,6.733681202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.126872778,0.100286037,0.116926163,0.106715731,0.113209657,0.102429271,0
1004,1255079.875,0.104740605,0,922,5.3039217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3.461678028,0.096555904,0.104740605,0.085329294,0.104641609,0.084944531,1
1004,1388092,0.111247778,1,892,5.364835739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.866769552,0.102730073,0.121483862,0.111247778,0.117172822,0.104859501,0
1006,1225831,0.207120076,0,891,5.392118931,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.953579903,0.188613117,0.207120076,0.174397111,0.201198131,0.169715568,1
1006,1032896.75,0.20441328,0,904,0.006302005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-4.262916088,0.183632419,0.20441328,0.178927511,0.200267196,0.178205609,1
1006,1316855,0.178927511,1,904,0.00614345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.792028189,0.17796497,0.20441328,0.178927511,0.200267196,0.178205609,0
1006,1035202.688,0.195615739,0,924,5.317355633,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4.329011917,0.189509481,0.195615739,0.165019795,0.198891521,0.164110512,1
1006,1268458,0.206351846,0,892,6.324406147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.9176929,0.187443942,0.206351846,0.176755264,0.202598602,0.171343178,1
1006,1358970,0.165755525,1,881,5.351500034,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.43108654,0.158719927,0.191526085,0.165755525,0.188302651,0.161065131,0
1006,1172869,0.215889841,0,893,4.544258118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.047251701,0.193647653,0.215889841,0.183726624,0.210824519,0.179750443,1
1006,1267925,0.161986694,1,884,4.259867191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.589843512,0.158059657,0.202593982,0.161986694,0.197521448,0.159368664,0
1006,1267885,0.165923268,1,921,5.837682247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3.750427485,0.165822059,0.205860257,0.165923268,0.205332547,0.165847361,0
1006,1409068,0.165898964,1,914,4.079398632,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3.699312925,0.169397265,0.198816359,0.165898964,0.197117895,0.168522686,0
1006,1393942,0.162978068,1,922,4.430198669,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3.614704609,0.165609866,0.200441614,0.162978068,0.200977847,0.164951921,0
1006,1065550,0.202114433,0,913,5.582916737,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-4.231538296,0.183193326,0.202114433,0.184005499,0.198432237,0.17947337,1
1006,1202747,0.167750791,1,923,3.856545925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.807859182,0.163969785,0.201506555,0.167750791,0.20343706,0.16491504,0
1006,1261426,0.184005499,1,913,5.494377613,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-3.848855257,0.177962661,0.202114433,0.184005499,0.198432237,0.17947337,0
1006,1219282,0.201240733,0,883,6.028555393,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.896591902,0.183600768,0.201240733,0.16934146,0.196157604,0.164376572,1
1006,1004803.938,0.20629929,0,903,5.001670837,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-4.25189209,0.185511827,0.20629929,0.188850954,0.202208489,0.184767753,1
1006,1310479,0.165019795,1,924,5.202799797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3.76358223,0.163807422,0.195615739,0.165019795,0.198891521,0.164110512,0
1006,1016897.188,0.201506555,0,923,3.961506367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4.318603516,0.191188678,0.201506555,0.167750791,0.20343706,0.16491504,1
