"","Возраст","Пол","Напиток"
"1757",58.5,1,"Пиво"
"1758",53,2,"Пиво"
"1759",45,1,"Пиво"
"1760",60,2,"Водка"
"1761",60,2,"Водка"
"1762",52,2,"Водка"
"1763",56.5,2,"Вино"
"1764",41.5,1,"Пиво"
"1765",65.5,1,"Коньяк или виски"
"1766",42.5,2,"Пиво"
"1767",51,1,"Пиво"
"1768",51,1,"Водка"
"1769",51,1,"Мартини или вермут"
"1770",74,1,"Водка"
"1771",48,1,"Водка"
"1772",38,1,"Коньяк или виски"
"1773",51,1,"Пиво"
"1774",53.5,2,"Вино"
"1775",66.5,1,"Пиво"
"1776",37.5,1,"Пиво"
"1777",51,1,"Пиво"
"1778",51,1,"Водка"
"1779",72.5,2,"Мартини или вермут"
"1780",44.5,2,"Пиво"
"1781",52.5,1,"Пиво"
"1782",52.5,1,"Водка"
"1783",64.5,2,"Коньяк или виски"
"1784",77,2,"Водка"
"1785",64,2,"Коньяк или виски"
"1786",68.5,1,"Коньяк или виски"
"1787",68.5,1,"Водка"
"1788",68.5,1,"Самогон"
"1789",35.5,2,"Коньяк или виски"
"1790",35.5,2,"Водка"
"1791",49.5,2,"Пиво"
"1792",49.5,2,"Мартини или вермут"
"1793",73.5,1,"Водка"
"1794",63.5,1,"Пиво"
"1795",63.5,1,"Коньяк или виски"
"1796",35.5,1,"Пиво"
"1797",60.5,2,"Пиво"
"1798",40,2,"Мартини или вермут"
"1799",62.5,1,"Пиво"
"1800",62.5,1,"Водка"
"1801",62.5,1,"Вино"
"1802",62.5,1,"Мартини или вермут"
"1803",57.5,2,"Пиво"
"1804",57.5,2,"Коньяк или виски"
"1805",31,2,"Водка"
"1806",31,2,"Вино"
"1807",69.5,1,"Коньяк или виски"
"1808",47,2,"Коньяк или виски"
"1809",19.5,2,"Коньяк или виски"
"1810",19.5,2,"Мартини или вермут"
"1811",36,2,"Пиво"
"1812",36.5,1,"Пиво"
"1813",36.5,1,"Коньяк или виски"
"1814",55.5,2,"Пиво"
"1815",24.5,2,"Коктейли"
"1816",46.5,2,"Коньяк или виски"
"1817",46.5,1,"Пиво"
"1818",46.5,1,"Водка"
"1819",41.5,2,"Мартини или вермут"
"1820",44,2,"Водка"
"1821",60.5,2,"Вино"
"1822",24,1,"Пиво"
"1823",52,2,"Пиво"
"1824",49.5,1,"Пиво"
"1825",51,2,"Пиво"
"1826",53.5,1,"Пиво"
"1827",53.5,1,"Коньяк или виски"
"1828",44,2,"Коктейли"
"1829",44,2,"Пиво"
"1830",76.5,1,"Водка"
"1831",62,1,"Пиво"
"1832",62,1,"Водка"
"1833",37,1,"Пиво"
"1834",60,2,"Пиво"
"1835",90,1,"Коньяк или виски"
"1836",90,1,"Водка"
"1837",45.5,1,"Пиво"
"1838",53.5,2,"Коньяк или виски"
"1839",77,2,"Коньяк или виски"
"1840",63.5,2,"Коньяк или виски"
"1841",63.5,2,"Вино"
"1842",78,2,"Коньяк или виски"
"1843",46.5,2,"Пиво"
"1844",19.5,2,"Пиво"
"1845",19.5,2,"Вино"
"1846",52.5,1,"Пиво"
"1847",52.5,1,"Коньяк или виски"
"1848",65,1,"Коньяк или виски"
"1849",65,1,"Мартини или вермут"
"1850",62.5,2,"Мартини или вермут"
"1851",71,1,"Коньяк или виски"
"1852",71,1,"Водка"
"1853",69.5,2,"Мартини или вермут"
"1854",53.5,2,"Коньяк или виски"
"1855",53.5,2,"Мартини или вермут"
"1856",48,1,"Пиво"
"1857",48,1,"Коньяк или виски"
"1858",48,1,"Водка"
"1859",30.5,1,"Пиво"
"1860",30.5,1,"Водка"
"1861",21.5,1,"Пиво"
"1862",21.5,1,"Коньяк или виски"
"1863",21.5,1,"Водка"
"1864",21.5,1,"Мартини или вермут"
"1865",46.5,2,"Коньяк или виски"
"1866",46.5,2,"Мартини или вермут"
"1867",21.5,2,"Мартини или вермут"
"1868",69,2,"Коньяк или виски"
"1869",69,2,"Мартини или вермут"
"1870",71,1,"Пиво"
"1871",71,1,"Коньяк или виски"
"1872",71,1,"Водка"
"1873",61.5,2,"Коньяк или виски"
"1874",61.5,2,"Водка"
"1875",65,1,"Пиво"
"1876",65,1,"Коньяк или виски"
"1877",65,1,"Водка"
"1878",41.5,1,"Пиво"
"1879",41.5,1,"Коньяк или виски"
"1880",48.5,2,"Пиво"
"1881",29.5,1,"Пиво"
"1882",51.5,1,"Пиво"
"1883",51.5,1,"Коньяк или виски"
"1884",53,1,"Коньяк или виски"
"1885",69.5,1,"Водка"
"1886",44,2,"Коньяк или виски"
"1887",42.5,1,"Пиво"
"1888",42.5,1,"Коньяк или виски"
"1889",42.5,1,"Водка"
"1890",32,2,"Пиво"
"1891",65,2,"Коктейли"
"1892",65,2,"Пиво"
"1893",46,2,"Самогон"
"1894",37,2,"Пиво"
"1895",66.5,1,"Водка"
"1896",52.5,1,"Пиво"
"1897",52.5,1,"Водка"
"1898",50,1,"Пиво"
"1899",50,1,"Водка"
"1900",23.5,1,"Пиво"
"1901",23.5,1,"Коньяк или виски"
"1902",63,1,"Пиво"
"1903",63,1,"Коньяк или виски"
"1904",63,1,"Водка"
"1905",69,2,"Пиво"
"1906",47.5,1,"Коктейли"
"1907",47.5,1,"Пиво"
"1908",47.5,1,"Коньяк или виски"
"1909",64.5,2,"Вино"
"1910",44.5,2,"Пиво"
"1911",22.5,2,"Коньяк или виски"
"1912",34.5,1,"Пиво"
"1913",34.5,1,"Коньяк или виски"
"1914",35,1,"Пиво"
"1915",72.5,2,"Вино"
"1916",77,1,"Водка"
"1917",59,2,"Коньяк или виски"
"1918",58,1,"Пиво"
"1919",58,1,"Водка"
"1920",52,1,"Коньяк или виски"
"1921",59.5,1,"Водка"
"1922",59.5,1,"Самогон"
"1923",59.5,1,"Мартини или вермут"
"1924",66.5,2,"Коньяк или виски"
"1925",36,1,"Пиво"
"1926",36,1,"Коньяк или виски"
"1927",36,1,"Водка"
"1928",41,2,"Коктейли"
"1929",41,2,"Коньяк или виски"
"1930",48.5,2,"Пиво"
"1931",48.5,2,"Вино"
"1932",25.5,1,"Пиво"
"1933",67,1,"Водка"
"1934",35.5,1,"Пиво"
"1935",35.5,1,"Водка"
"1936",39,2,"Пиво"
"1937",47.5,1,"Пиво"
"1938",47.5,1,"Водка"
"1939",74,1,"Водка"
"1940",74.5,2,"Водка"
"1941",74.5,2,"Мартини или вермут"
"1942",65.5,2,"Пиво"
"1943",65.5,2,"Водка"
"1944",42,1,"Пиво"
"1945",42,1,"Водка"
"1946",36,1,"Пиво"
"1947",36,1,"Коньяк или виски"
"1948",57,2,"Водка"
"1949",69,1,"Самогон"
"1950",43.5,1,"Водка"
"1951",42.5,2,"Пиво"
"1952",48.5,1,"Водка"
"1953",49.5,1,"Пиво"
"1954",46,2,"Пиво"
"1955",25,1,"Пиво"
"1956",38,2,"Пиво"
"1957",38,2,"Самогон"
"1958",62.5,2,"Водка"
"1959",45,1,"Пиво"
"1960",45,1,"Водка"
"1961",39,1,"Пиво"
"1962",49.5,1,"Пиво"
"1963",37.5,2,"Пиво"
"1964",70.5,2,"Пиво"
"1965",72,1,"Водка"
"1966",39,1,"Пиво"
"1967",38,1,"Пиво"
"1968",38,1,"Коньяк или виски"
"1969",38,1,"Водка"
"1970",66,1,"Водка"
"1971",42,1,"Пиво"
"1972",42,1,"Водка"
"1973",42,1,"Самогон"
"1974",43,1,"Пиво"
"1975",32.5,2,"Пиво"
"1976",37,1,"Водка"
"1977",37,2,"Пиво"
"1978",35,1,"Пиво"
"1979",48,2,"Пиво"
"1980",21.5,2,"Пиво"
"1981",51.5,2,"Пиво"
"1982",62.5,1,"Пиво"
"1983",42,1,"Пиво"
"1984",42,1,"Водка"
"1985",38,1,"Пиво"
"1986",33.5,2,"Пиво"
"1987",59.5,1,"Коньяк или виски"
"1988",37.5,1,"Самогон"
"1989",36.5,1,"Пиво"
"1990",44.5,1,"Пиво"
"1991",44.5,1,"Водка"
"1992",77,1,"Пиво"
"1993",77,1,"Коньяк или виски"
"1994",72.5,2,"Пиво"
"1995",74,2,"Пиво"
"1996",41.5,2,"Пиво"
"1997",41.5,2,"Водка"
"1998",50.5,1,"Пиво"
"1999",50.5,1,"Самогон"
"2000",35,1,"Мартини или вермут"
"2001",84,1,"Пиво"
"2002",84,1,"Водка"
"2003",35,1,"Пиво"
"2004",35,1,"Коньяк или виски"
"2005",39.5,2,"Пиво"
"2006",33,1,"Пиво"
"2007",33,1,"Водка"
"2008",18,2,"Коктейли"
"2009",37.5,2,"Пиво"
"2010",65.5,2,"Мартини или вермут"
"2011",34,2,"Пиво"
"2012",34,2,"Водка"
"2013",36.5,1,"Пиво"
"2014",36.5,1,"Водка"
"2015",47.5,1,"Коньяк или виски"
"2016",47.5,1,"Самогон"
"2017",22,1,"Пиво"
"2018",59.5,1,"Пиво"
"2019",59.5,1,"Самогон"
"2020",59.5,1,"Пиво"
"2021",30.5,1,"Пиво"
"2022",38,2,"Мартини или вермут"
"2023",48.5,1,"Пиво"
"2024",48.5,1,"Самогон"
"2025",48.5,2,"Пиво"
"2026",48.5,2,"Мартини или вермут"
"2027",55.5,1,"Пиво"
"2028",55.5,1,"Коньяк или виски"
"2029",55.5,1,"Водка"
"2030",67.5,2,"Пиво"
"2031",67.5,2,"Коньяк или виски"
"2032",70,2,"Пиво"
"2033",34,1,"Пиво"
"2034",71.5,1,"Водка"
"2035",45.5,2,"Пиво"
"2036",45.5,2,"Коньяк или виски"
"2037",45.5,2,"Мартини или вермут"
"2038",48.5,1,"Пиво"
"2039",48.5,1,"Коньяк или виски"
"2040",77.5,2,"Коньяк или виски"
"2041",74,2,"Пиво"
"2042",74,2,"Коньяк или виски"
"2043",32,2,"Пиво"
"2044",32,2,"Водка"
"2045",51,1,"Пиво"
"2046",51,1,"Водка"
"2047",23,2,"Пиво"
"2048",23,2,"Водка"
"2049",23,2,"Самогон"
"2050",57.5,2,"Мартини или вермут"
"2051",28.5,2,"Коньяк или виски"
"2052",59,2,"Пиво"
"2053",59,2,"Вино"
"2054",51,1,"Коньяк или виски"
"2055",51,1,"Водка"
"2056",38.5,1,"Пиво"
"2057",57.5,2,"Мартини или вермут"
"2058",69.5,1,"Водка"
"2059",75,1,"Коньяк или виски"
"2060",75,1,"Мартини или вермут"
"2061",70.5,2,"Коньяк или виски"
"2062",33,2,"Пиво"
"2063",33,2,"Коньяк или виски"
"2064",39,1,"Пиво"
"2065",59,2,"Пиво"
"2066",59,2,"Мартини или вермут"
"2067",27.5,1,"Мартини или вермут"
"2068",22.5,2,"Пиво"
"2069",22.5,2,"Мартини или вермут"
"2070",55.5,1,"Пиво"
"2071",71,2,"Коньяк или виски"
"2072",71,2,"Вино"
"2073",70,1,"Коньяк или виски"
"2074",70,1,"Вино"
"2075",41.5,2,"Пиво"
"2076",71.5,1,"Водка"
"2077",51,2,"Пиво"
"2078",40.5,1,"Пиво"
"2079",48.5,2,"Коньяк или виски"
"2080",81.5,2,"Водка"
"2081",22,1,"Пиво"
"2082",22,1,"Коньяк или виски"
"2083",42,1,"Пиво"
"2084",42,1,"Водка"
"2085",38,2,"Пиво"
"2086",52,2,"Коньяк или виски"
"2087",54.5,1,"Коньяк или виски"
"2088",30.5,1,"Пиво"
"2089",30.5,1,"Коньяк или виски"
"2090",29.5,1,"Пиво"
"2091",70.5,1,"Пиво"
"2092",70.5,1,"Самогон"
"2093",36,1,"Пиво"
"2094",32,1,"Пиво"
"2095",39,2,"Пиво"
"2096",34.5,1,"Пиво"
"2097",33.5,1,"Пиво"
"2098",40,2,"Пиво"
"2099",80.5,1,"Водка"
"2100",46.5,1,"Коньяк или виски"
"2101",46.5,1,"Самогон"
"2102",73.5,1,"Самогон"
"2103",73.5,1,"Вино"
"2104",47,2,"Пиво"
"2105",49,1,"Водка"
"2106",45,1,"Водка"
"2107",39,2,"Пиво"
"2108",44.5,1,"Пиво"
"2109",45,1,"Пиво"
"2110",45,1,"Водка"
"2111",44.5,1,"Пиво"
"2112",24.5,1,"Пиво"
"2113",24.5,1,"Мартини или вермут"
"2114",77.5,2,"Коньяк или виски"
"2115",27,2,"Коктейли"
"2116",78,2,"Мартини или вермут"
"2117",84,1,"Пиво"
"2118",84,1,"Мартини или вермут"
"2119",67,2,"Коньяк или виски"
"2120",67,2,"Самогон"
"2121",75,1,"Коньяк или виски"
"2122",75,1,"Водка"
"2123",54.5,2,"Коньяк или виски"
"2124",54.5,2,"Водка"
"2125",66.5,2,"Коньяк или виски"
"2126",32,1,"Пиво"
"2127",86,1,"Пиво"
"2128",45,1,"Коньяк или виски"
"2129",50.5,2,"Мартини или вермут"
"2130",66.5,2,"Коньяк или виски"
"2131",66.5,2,"Мартини или вермут"
"2132",68.5,2,"Водка"
"2133",33,1,"Пиво"
"2134",71,2,"Пиво"
"2135",71,2,"Коньяк или виски"
"2136",31,2,"Коньяк или виски"
"2137",87.5,2,"Пиво"
"2138",32,1,"Пиво"
"2139",32,1,"Водка"
"2140",51,2,"Пиво"
"2141",72,1,"Пиво"
"2142",72,1,"Водка"
"2143",45.5,2,"Коньяк или виски"
"2144",52,1,"Водка"
"2145",38,1,"Коньяк или виски"
"2146",62,2,"Водка"
"2147",34.5,1,"Пиво"
"2148",34.5,1,"Коньяк или виски"
"2149",45,1,"Водка"
"2150",45,1,"Мартини или вермут"
"2151",29,1,"Пиво"
"2152",29,1,"Водка"
"2153",72.5,2,"Коньяк или виски"
"2154",47,1,"Пиво"
"2155",47,1,"Коньяк или виски"
"2156",42,1,"Коньяк или виски"
"2157",23.5,2,"Вино"
"2158",57,1,"Пиво"
"2159",57,1,"Водка"
"2160",37.5,1,"Пиво"
"2161",50.5,1,"Пиво"
"2162",50.5,1,"Водка"
"2163",38,1,"Пиво"
"2164",28.5,2,"Пиво"
"2165",56.5,1,"Водка"
"2166",41.5,1,"Пиво"
"2167",41.5,1,"Самогон"
"2168",44,2,"Пиво"
"2169",44,2,"Коньяк или виски"
"2170",23,1,"Пиво"
"2171",52,1,"Пиво"
"2172",52,1,"Водка"
"2173",25,1,"Пиво"
"2174",25,1,"Коньяк или виски"
"2175",25,1,"Водка"
"2176",63,2,"Коньяк или виски"
"2177",57.5,2,"Водка"
"2178",68.5,1,"Водка"
"2179",61.5,2,"Вино"
"2180",28.5,1,"Пиво"
"2181",49.5,2,"Пиво"
"2182",49.5,2,"Коньяк или виски"
"2183",51.5,1,"Пиво"
"2184",57.5,2,"Пиво"
"2185",57.5,2,"Мартини или вермут"
"2186",63,1,"Пиво"
"2187",63,1,"Водка"
"2188",65.5,2,"Вино"
"2189",67.5,1,"Водка"
"2190",35.5,1,"Пиво"
"2191",35.5,1,"Водка"
"2192",52.5,1,"Пиво"
"2193",69,2,"Коньяк или виски"
"2194",68,1,"Коньяк или виски"
"2195",67,1,"Пиво"
"2196",77,2,"Коньяк или виски"
"2197",51,1,"Коньяк или виски"
"2198",37.5,1,"Пиво"
"2199",37.5,1,"Коньяк или виски"
"2200",38,1,"Пиво"
"2201",38,1,"Водка"
"2202",59.5,1,"Водка"
"2203",50,1,"Водка"
"2204",41,1,"Пиво"
"2205",36.5,1,"Пиво"
"2206",77,2,"Коньяк или виски"
"2207",79,1,"Водка"
"2208",52.5,1,"Пиво"
"2209",52.5,1,"Водка"
"2210",40,2,"Пиво"
"2211",43,1,"Водка"
"2212",65.5,2,"Водка"
"2213",44,1,"Пиво"
"2214",44,1,"Водка"
"2215",38,1,"Пиво"
"2216",46,2,"Пиво"
"2217",65,2,"Водка"
"2218",42,1,"Пиво"
"2219",52.5,1,"Коньяк или виски"
"2220",52.5,1,"Водка"
"2221",53,2,"Водка"
"2222",53,2,"Самогон"
"2223",37.5,2,"Пиво"
"2224",55,2,"Водка"
"2225",55,2,"Мартини или вермут"
"2226",55.5,2,"Пиво"
"2227",55.5,2,"Водка"
"2228",55.5,2,"Мартини или вермут"
"2229",30.5,2,"Пиво"
"2230",30.5,2,"Мартини или вермут"
"2231",36,1,"Пиво"
"2232",39,2,"Пиво"
"2233",39,2,"Водка"
"2234",72,1,"Пиво"
"2235",37.5,2,"Пиво"
"2236",37.5,2,"Водка"
"2237",62.5,1,"Пиво"
"2238",27.5,1,"Пиво"
"2239",27.5,1,"Водка"
"2240",50.5,1,"Пиво"
"2241",48.5,2,"Пиво"
"2242",48.5,2,"Коньяк или виски"
"2243",71.5,2,"Коньяк или виски"
"2244",71.5,2,"Вино"
"2245",70.5,1,"Вино"
"2246",40.5,1,"Пиво"
"2247",49,2,"Пиво"
"2248",49,2,"Водка"
"2249",42.5,2,"Пиво"
"2250",59.5,1,"Пиво"
"2251",65,2,"Пиво"
"2252",65,2,"Мартини или вермут"
"2253",81.5,1,"Водка"
"2254",56,2,"Мартини или вермут"
"2255",72,2,"Пиво"
"2256",72,2,"Коньяк или виски"
"2257",72,2,"Водка"
"2258",71,1,"Пиво"
"2259",71,1,"Коньяк или виски"
"2260",71,1,"Водка"
"2261",49.5,1,"Водка"
"2262",56.5,2,"Пиво"
"2263",65.5,1,"Водка"
"2264",47.5,1,"Пиво"
"2265",71.5,1,"Пиво"
"2266",70,1,"Пиво"
"2267",66.5,1,"Пиво"
"2268",66.5,1,"Водка"
"2269",66.5,1,"Самогон"
"2270",47,1,"Пиво"
"2271",47,1,"Водка"
"2272",37,1,"Пиво"
"2273",37,1,"Коньяк или виски"
"2274",64,1,"Пиво"
"2275",47,1,"Самогон"
"2276",42,2,"Коктейли"
"2277",42,2,"Пиво"
"2278",68,1,"Водка"
"2279",49,2,"Пиво"
"2280",77,2,"Коньяк или виски"
"2281",46.5,1,"Пиво"
"2282",46.5,1,"Самогон"
"2283",51,2,"Пиво"
"2284",23.5,2,"Пиво"
"2285",32.5,1,"Коктейли"
"2286",32.5,1,"Пиво"
"2287",51.5,1,"Пиво"
"2288",51.5,1,"Водка"
"2289",83.5,1,"Водка"
"2290",61.5,1,"Водка"
"2291",44.5,2,"Водка"
"2292",59,2,"Коньяк или виски"
"2293",59,2,"Мартини или вермут"
"2294",42,2,"Пиво"
"2295",42,2,"Мартини или вермут"
"2296",56,2,"Пиво"
"2297",58.5,1,"Пиво"
"2298",58.5,1,"Коньяк или виски"
"2299",58.5,1,"Водка"
"2300",60.5,1,"Коньяк или виски"
"2301",56.5,2,"Вино"
"2302",69.5,2,"Коньяк или виски"
"2303",69.5,2,"Самогон"
"2304",67.5,1,"Водка"
"2305",77,2,"Коньяк или виски"
"2306",78,1,"Коньяк или виски"
"2307",38.5,1,"Коньяк или виски"
"2308",41,1,"Водка"
"2309",40.5,1,"Пиво"
"2310",74,1,"Вино"
"2311",74,2,"Вино"
"2312",40.5,2,"Пиво"
"2313",43,1,"Пиво"
"2314",43,1,"Водка"
"2315",19.5,2,"Коктейли"
"2316",67.5,2,"Водка"
"2317",32.5,2,"Пиво"
"2318",60.5,2,"Водка"
"2319",34,2,"Пиво"
"2320",34,2,"Водка"
"2321",22.5,1,"Пиво"
"2322",72,1,"Пиво"
"2323",72,1,"Водка"
"2324",60,1,"Водка"
"2325",69.5,2,"Пиво"
"2326",69.5,2,"Коньяк или виски"
"2327",75,2,"Коньяк или виски"
"2328",75,2,"Мартини или вермут"
"2329",67,1,"Водка"
"2330",69.5,2,"Пиво"
"2331",37,1,"Пиво"
"2332",37,1,"Коньяк или виски"
"2333",37,1,"Водка"
"2334",45,1,"Пиво"
"2335",74,1,"Водка"
"2336",79.5,1,"Коньяк или виски"
"2337",62.5,1,"Водка"
"2338",57,1,"Пиво"
"2339",57,2,"Коньяк или виски"
"2340",68,2,"Пиво"
"2341",68,2,"Водка"
"2342",65,1,"Пиво"
"2343",58.5,2,"Пиво"
"2344",60.5,2,"Пиво"
"2345",52.5,2,"Мартини или вермут"
"2346",21,1,"Пиво"
"2347",21,1,"Мартини или вермут"
"2348",68.5,2,"Пиво"
"2349",79.5,2,"Мартини или вермут"
"2350",73,1,"Пиво"
"2351",73,1,"Водка"
"2352",56,2,"Пиво"
"2353",28,1,"Пиво"
"2354",58,1,"Коньяк или виски"
"2355",58,1,"Водка"
"2356",49,2,"Пиво"
"2357",54,1,"Водка"
"2358",63.5,2,"Водка"
"2359",32.5,1,"Пиво"
"2360",62.5,1,"Самогон"
"2361",67.5,1,"Мартини или вермут"
"2362",62,2,"Мартини или вермут"
"2363",48.5,2,"Вино"
"2364",23,2,"Пиво"
"2365",23,2,"Мартини или вермут"
"2366",20.5,1,"Пиво"
"2367",18.5,2,"Мартини или вермут"
"2368",44,2,"Коньяк или виски"
"2369",44,2,"Мартини или вермут"
"2370",50.5,1,"Пиво"
"2371",50.5,1,"Водка"
"2372",72,1,"Мартини или вермут"
"2373",67.5,2,"Коньяк или виски"
"2374",67.5,2,"Мартини или вермут"
"2375",57.5,2,"Водка"
"2376",70,1,"Водка"
"2377",34,1,"Самогон"
"2378",61.5,2,"Коньяк или виски"
"2379",84.5,2,"Коньяк или виски"
"2380",26,2,"Пиво"
"2381",49,1,"Пиво"
"2382",33,1,"Пиво"
"2383",56,1,"Коньяк или виски"
"2384",61.5,1,"Пиво"
"2385",38,2,"Мартини или вермут"
"2386",55,2,"Мартини или вермут"
"2387",66.5,2,"Пиво"
"2388",58.5,2,"Коньяк или виски"
"2389",60,1,"Пиво"
"2390",65,2,"Вино"
"2391",46.5,1,"Пиво"
"2392",46.5,1,"Водка"
"2393",77,2,"Коньяк или виски"
"2394",77,2,"Водка"
"2395",48,1,"Пиво"
"2396",48.5,1,"Пиво"
"2397",48.5,1,"Водка"
"2398",45,2,"Коньяк или виски"
"2399",23.5,2,"Пиво"
"2400",44.5,2,"Коньяк или виски"
"2401",18,1,"Коктейли"
"2402",18,1,"Пиво"
"2403",57,2,"Вино"
"2404",55.5,1,"Пиво"
"2405",55.5,1,"Коньяк или виски"
"2406",61,1,"Коньяк или виски"
"2407",40,1,"Пиво"
"2408",40,1,"Водка"
"2409",58.5,1,"Коньяк или виски"
"2410",86,2,"Вино"
"2411",43,2,"Вино"
"2412",43,2,"Мартини или вермут"
"2413",47.5,1,"Водка"
"2414",47.5,1,"Самогон"
"2415",74,2,"Вино"
"2416",74.5,1,"Вино"
"2417",41,2,"Вино"
"2418",52,2,"Пиво"
"2419",52,2,"Водка"
"2420",54,1,"Пиво"
"2421",54,1,"Коньяк или виски"
"2422",54,1,"Водка"
"2423",62.5,1,"Пиво"
"2424",55,1,"Пиво"
"2425",52.5,2,"Вино"
"2426",54.5,1,"Водка"
"2427",61,1,"Пиво"
"2428",61,1,"Водка"
"2429",41,1,"Пиво"
"2430",48.5,2,"Пиво"
"2431",48.5,2,"Вино"
"2432",49,1,"Пиво"
"2433",49,1,"Водка"
"2434",74,2,"Водка"
"2435",37.5,1,"Пиво"
"2436",58.5,1,"Водка"
"2437",33.5,1,"Пиво"
"2438",33.5,1,"Водка"
"2439",67,1,"Пиво"
"2440",65.5,2,"Водка"
"2441",68.5,1,"Водка"
"2442",43,1,"Коньяк или виски"
"2443",48,2,"Коньяк или виски"
"2444",48,2,"Водка"
"2445",70,1,"Водка"
"2446",69.5,1,"Водка"
"2447",68,2,"Водка"
"2448",40.5,2,"Самогон"
"2449",40.5,2,"Мартини или вермут"
"2450",41,1,"Пиво"
"2451",41,1,"Самогон"
"2452",40.5,1,"Коньяк или виски"
"2453",40.5,1,"Водка"
"2454",39,2,"Коньяк или виски"
"2455",39,2,"Мартини или вермут"
"2456",42.5,1,"Пиво"
"2457",39.5,2,"Пиво"
"2458",40,1,"Пиво"
"2459",40,1,"Коньяк или виски"
"2460",66,1,"Мартини или вермут"
"2461",40.5,1,"Пиво"
"2462",40.5,1,"Водка"
"2463",40.5,1,"Самогон"
"2464",39.5,1,"Коньяк или виски"
"2465",33.5,1,"Пиво"
"2466",33.5,1,"Самогон"
"2467",63.5,1,"Пиво"
"2468",63.5,1,"Водка"
"2469",63.5,1,"Самогон"
"2470",62,2,"Коктейли"
"2471",40.5,1,"Пиво"
"2472",40.5,1,"Коньяк или виски"
"2473",40.5,1,"Водка"
"2474",39.5,1,"Пиво"
"2475",39.5,1,"Коньяк или виски"
"2476",39.5,1,"Водка"
"2477",47.5,1,"Пиво"
"2478",47.5,1,"Коньяк или виски"
"2479",47.5,1,"Водка"
"2480",47.5,1,"Мартини или вермут"
"2481",43,1,"Пиво"
"2482",43,1,"Водка"
"2483",36.5,2,"Пиво"
"2484",35,1,"Коньяк или виски"
"2485",36,1,"Пиво"
"2486",41.5,2,"Пиво"
"2487",37,2,"Пиво"
"2488",84,2,"Пиво"
"2489",35.5,2,"Мартини или вермут"
"2490",39.5,1,"Пиво"
"2491",39.5,1,"Мартини или вермут"
"2492",31,2,"Пиво"
"2493",65.5,1,"Пиво"
"2494",65.5,1,"Водка"
"2495",65.5,1,"Мартини или вермут"
"2496",37,1,"Коньяк или виски"
"2497",36.5,2,"Коньяк или виски"
"2498",37,1,"Водка"
"2499",30.5,2,"Пиво"
"2500",35.5,1,"Пиво"
"2501",33,1,"Пиво"
"2502",33,1,"Водка"
"2503",42.5,2,"Пиво"
"2504",48,2,"Пиво"
"2505",55,1,"Пиво"
"2506",55,1,"Водка"
"2507",47,2,"Пиво"
"2508",32.5,2,"Коктейли"
"2509",32.5,2,"Пиво"
"2510",32.5,2,"Вино"
"2511",37,1,"Пиво"
"2512",37,1,"Вино"
"2513",53.5,1,"Пиво"
"2514",53.5,1,"Коньяк или виски"
"2515",42.5,2,"Пиво"
"2516",48.5,1,"Пиво"
"2517",48.5,1,"Водка"
"2518",71,2,"Пиво"
"2519",45.5,2,"Коньяк или виски"
"2520",50.5,1,"Пиво"
"2521",20.5,2,"Мартини или вермут"
"2522",35,1,"Пиво"
"2523",35,1,"Коньяк или виски"
"2524",37.5,1,"Пиво"
"2525",37.5,1,"Коньяк или виски"
"2526",56.5,1,"Водка"
"2527",33.5,1,"Водка"
"2528",50,1,"Пиво"
"2529",42.5,1,"Пиво"
"2530",48.5,1,"Водка"
"2531",68,1,"Водка"
"2532",84,1,"Пиво"
"2533",22,1,"Пиво"
"2534",50.5,2,"Пиво"
"2535",50.5,2,"Коньяк или виски"
"2536",32.5,1,"Коктейли"
"2537",32.5,1,"Пиво"
"2538",32.5,1,"Водка"
"2539",73,2,"Пиво"
"2540",73,1,"Пиво"
"2541",43,2,"Пиво"
"2542",51,2,"Пиво"
"2543",31,1,"Пиво"
"2544",71.5,1,"Водка"
"2545",58,2,"Пиво"
"2546",34,1,"Пиво"
"2547",49.5,1,"Пиво"
"2548",67,1,"Пиво"
"2549",67,1,"Коньяк или виски"
"2550",67.5,2,"Водка"
"2551",67.5,1,"Водка"
"2552",45.5,1,"Пиво"
"2553",57.5,1,"Водка"
"2554",49.5,1,"Коньяк или виски"
"2555",69,1,"Мартини или вермут"
"2556",38,2,"Пиво"
"2557",18,1,"Пиво"
"2558",44,1,"Пиво"
"2559",72.5,2,"Водка"
"2560",47,1,"Пиво"
"2561",47,1,"Водка"
"2562",52,1,"Пиво"
"2563",68.5,1,"Пиво"
"2564",41.5,1,"Пиво"
"2565",41.5,1,"Водка"
"2566",56,2,"Пиво"
"2567",35,2,"Пиво"
"2568",64,1,"Водка"
"2569",64,1,"Самогон"
"2570",58,2,"Самогон"
"2571",41.5,2,"Водка"
"2572",41.5,2,"Пиво"
"2573",44,2,"Пиво"
"2574",44,1,"Пиво"
"2575",37.5,2,"Пиво"
"2576",37.5,2,"Коньяк или виски"
"2577",37,1,"Водка"
"2578",51,1,"Пиво"
"2579",77,1,"Водка"
"2580",40.5,2,"Водка"
"2581",46,1,"Пиво"
"2582",54.5,1,"Пиво"
"2583",65.5,2,"Пиво"
"2584",49,1,"Пиво"
"2585",54,2,"Водка"
"2586",48.5,1,"Водка"
"2587",24.5,2,"Пиво"
"2588",52,2,"Пиво"
"2589",52,2,"Мартини или вермут"
