"","Возраст","Пол","Напиток"
"440",37.5,1,"Пиво"
"441",37.5,1,"Мартини или вермут"
"442",54,1,"Коньяк или виски"
"443",54,1,"Водка"
"444",54,2,"Пиво"
"445",75,2,"Пиво"
"446",54.5,2,"Коньяк или виски"
"447",54.5,2,"Мартини или вермут"
"448",31.5,1,"Коньяк или виски"
"449",31.5,1,"Водка"
"450",43.5,1,"Пиво"
"451",43.5,1,"Коньяк или виски"
"452",45.5,1,"Водка"
"453",46,1,"Пиво"
"454",46,1,"Водка"
"455",53,1,"Пиво"
"456",53,1,"Водка"
"457",50.5,2,"Пиво"
"458",60.5,1,"Пиво"
"459",25,1,"Пиво"
"460",48.5,2,"Коньяк или виски"
"461",49.5,1,"Пиво"
"462",49.5,1,"Коньяк или виски"
"463",33.5,2,"Пиво"
"464",31,2,"Пиво"
"465",48.5,1,"Пиво"
"466",26.5,1,"Пиво"
"467",55,2,"Самогон"
"468",65,2,"Пиво"
"469",65,2,"Вино"
"470",39.5,1,"Пиво"
"471",39.5,1,"Коньяк или виски"
"472",38,1,"Пиво"
"473",50.5,1,"Водка"
"474",54,1,"Водка"
"475",54,2,"Пиво"
"476",54,2,"Водка"
"477",50,2,"Пиво"
"478",70.5,2,"Пиво"
"479",74,2,"Водка"
"480",70,1,"Водка"
"481",70,1,"Самогон"
"482",70,1,"Вино"
"483",52.5,1,"Водка"
"484",56,1,"Коктейли"
"485",56,1,"Коньяк или виски"
"486",56,1,"Водка"
"487",53,2,"Пиво"
"488",53,2,"Водка"
"489",44.5,1,"Пиво"
"490",44.5,1,"Водка"
"491",25.5,2,"Пиво"
"492",25.5,2,"Мартини или вермут"
"493",48,1,"Пиво"
"494",48,1,"Водка"
"495",56,1,"Пиво"
"496",56,1,"Коньяк или виски"
"497",34,1,"Коктейли"
"498",34,1,"Пиво"
"499",34,1,"Коньяк или виски"
"500",48,2,"Пиво"
"501",27.5,1,"Пиво"
"502",27.5,1,"Коньяк или виски"
"503",50.5,1,"Пиво"
"504",50.5,1,"Водка"
"505",52,2,"Пиво"
"506",52,2,"Водка"
"507",62.5,2,"Пиво"
"508",59,2,"Пиво"
"509",59,2,"Коньяк или виски"
"510",60.5,1,"Пиво"
