"","Project.Future.Phase","Country","Region.x","Years","Development.Type.y","Development.Status.y","OPEC.Status","Production.x","Production.y","Breakeven.Band","Commercial.Liquids.Remaining.Reserves..million.barrels.","Operating.Costs","expected","id","cs_prod"
"329","GFC Eagle Ford Black Oil McMullen SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",16.06255359,16.0625535862405,"<$20",50.4582540703682,16.3308175544951,18.8620942754418,329,7857.362127192
"330","GFC Eagle Ford Black Oil Other SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",43.25318062,43.2531806208391,"<$20",117.491577991375,16.3308175544951,18.8620942754418,330,7909.265943936
"331","GFC Eagle Ford Black Oil Zavala SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",17.96976499,17.9697649858195,"<$20",55.5728086019404,16.3308175544951,18.8620942754418,331,7930.829661924
"332","Crown & Anchor (VK 959)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",5.59141894,5.59141894011303,"<$20",15.19,16.44615659,18.99531086145,332,7937.539364652
"333","WLN Bakken Parshall Sanish Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",56.0572065,56.0572064974082,"<$20",178.893626924603,16.4567222382458,19.0075141851739,333,8004.808012452
"334","WLN Three Forks Parshall Sanish Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",16.29865348,16.2986534764187,"<$20",50.0301517088109,16.4567222382458,19.0075141851739,334,8024.366396628
"335","WLN Bakken Dunn County Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",73.07785716,73.0778571590097,"<$20",218.242306429871,16.5230888245667,19.0841675923745,335,8112.05982522
"336","WLN Three Forks Dunn County Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",36.05988772,36.0598877224495,"<$20",103.25287416834,16.5230888245667,19.0841675923745,336,8155.331690484
"337","FTW Fort Worth Basin Other Hz OGS TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",0.739840175,0.739840175143776,"<$20",2.13173305428991,16.6402881363152,19.2195327974441,337,8156.219498694
"338","FTW Fort Worth Basin Other OGS TX","US (Lower 48)","North America",2020,"Onshore","Onstream","Non-OPEC",16.89585466,16.8958546585928,"<$20",65.7826441533095,16.6402881363152,19.2195327974441,338,8176.494524286
"339","Stonefly (VK 999)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",10.71849859,10.7184985910817,"<$20",17.72,16.66752339,19.25098951545,339,8189.356722594
